FoodImage,NumOffeats,BagOfSurf,FoodId

/Users/Shawn/Google Drive/ECEN642/642 Final Proj/Datasets/data/Arbys/03/inst1/01.jpg,4548,BagOfSurf{0.023746701846965697;0.0032981530343007917;0.0021987686895338612;0.009894459102902375;0.0010993843447669306;0.008795074758135445;0.02264731750219877;0.005716798592788039;0.010334212840809147;0.009894459102902375;0.011873350923482849;0.008575197889182058;0.006156552330694811;0.006376429199648197;0.002638522427440633;0.007475813544415127;0.012752858399296393;0.008355321020228672;0.005936675461741424;0.009234828496042216;0.011653474054529463;0.007036059806508356;0.0010993843447669306;0.016710642040457344;0.007255936675461741;0.012313104661389622;0.00395778364116095;0.008575197889182058;0.007475813544415127;0.008355321020228672;0.001978891820580475;0.0079155672823219;0.006156552330694811;0.005057167985927881;0.0173702726473175;0.00901495162708883;0.008355321020228672;0.010554089709762533;0.007255936675461741;0.001978891820580475;0.0079155672823219;0.007036059806508356;0.00395778364116095;0.011213720316622692;0.0538698328935796;0.004617414248021108;0.013852242744063324;0.012752858399296393;0.009234828496042216;0.014072119613016711;0.021767810026385226;0.009234828496042216;0.008355321020228672;0.00395778364116095;0.011213720316622692;0.010554089709762533;0.009454705364995602;0.007255936675461741;0.007695690413368514;0.005057167985927881;0.007255936675461741;0.00901495162708883;0.009894459102902375;0.008355321020228672;0.005277044854881266;0.012093227792436236;0.010114335971855761;0.007475813544415127;0.009894459102902375;0.014511873350923483;0.017810026385224276;0.009234828496042216;0.009894459102902375;0.007036059806508356;0.017810026385224276;0.004837291116974494;0.0037379067722075636;0.010114335971855761;0.011213720316622692;0.005496921723834653;0.010334212840809147;0.009894459102902375;0.005057167985927881;0.009674582233948988;0.016490765171503958;0.008135444151275286;0.001759014951627089;0.008575197889182058;0.00901495162708883;0.03869832893579595;0.008355321020228672;0.007475813544415127;0.007475813544415127;0.033201407211961305;0.008575197889182058;0.007036059806508356;0.010334212840809147;0.011213720316622692;0.01802990325417766;0.009454705364995602},3
/Users/Shawn/Google Drive/ECEN642/642 Final Proj/Datasets/data/Arbys/03/inst1/02.jpg,3467,BagOfSurf{0.03547735794635131;0.008364580328814536;0.001442169022209403;0.008653014133256417;5.768676088837611E-4;0.005191808479953851;0.02047880011537352;0.010095183155465821;0.0074992789154888955;0.005768676088837612;0.008941447937698297;0.0037496394577444477;0.0054802422843957315;0.002884338044418806;0.0017306028266512836;0.006345543697721373;0.018459763484280356;0.008076146524372656;0.002019036631093164;0.010672050764349583;0.007787712719930776;0.006345543697721373;0.001442169022209403;0.018459763484280356;0.011537352177675224;0.016729160657629073;0.0031727718488606866;0.007787712719930776;0.0074992789154888955;0.00980674935102394;0.0025959042399769255;0.00951831554658206;0.00490337467551197;0.00490337467551197;0.017882895875396595;0.00951831554658206;0.0074992789154888955;0.013844822613210269;0.015575425439861552;0.0017306028266512836;0.008941447937698297;0.012691087395442746;0.004038073262186328;0.005768676088837612;0.052783386212864145;0.008076146524372656;0.011825785982117105;0.013844822613210269;0.011248918373233344;0.006057109893279493;0.03432362272858379;0.008941447937698297;0.008653014133256417;0.0025959042399769255;0.01442169022209403;0.006057109893279493;0.006633977502163254;0.0023074704355350445;0.004614940871070089;0.007210845111047015;0.005768676088837612;0.006922411306605134;0.0074992789154888955;0.008364580328814536;0.010383616959907702;0.007787712719930776;0.010383616959907702;0.006345543697721373;0.008653014133256417;0.013556388808768388;0.025382174790885493;0.012691087395442746;0.006345543697721373;0.007210845111047015;0.018171329679838477;0.004326507066628208;0.006922411306605134;0.008076146524372656;0.013556388808768388;0.007787712719930776;0.00490337467551197;0.007787712719930776;0.005191808479953851;0.008653014133256417;0.012402653591000866;0.007210845111047015;5.768676088837611E-4;0.0074992789154888955;0.00980674935102394;0.05422555523507355;0.008364580328814536;0.006345543697721373;0.011825785982117105;0.016729160657629073;0.0074992789154888955;0.006345543697721373;0.011825785982117105;0.012691087395442746;0.01615229304874531;0.006345543697721373},3
/Users/Shawn/Google Drive/ECEN642/642 Final Proj/Datasets/data/Arbys/03/inst1/03.jpg,3496,BagOfSurf{0.031750572082379865;0.005720823798627002;0.002002288329519451;0.013443935926773455;2.860411899313501E-4;0.003432494279176201;0.018592677345537757;0.011155606407322655;0.004576659038901602;0.008009153318077803;0.007723112128146453;0.004576659038901602;0.005148741418764302;0.002860411899313501;0.002860411899313501;0.005720823798627002;0.012871853546910755;0.004290617848970252;0.002860411899313501;0.010869565217391304;0.008867276887871853;0.007151029748283753;0.002574370709382151;0.02803203661327231;0.009725400457665904;0.013729977116704805;0.005434782608695652;0.007437070938215103;0.011441647597254004;0.008867276887871853;0.004004576659038902;0.007151029748283753;0.005720823798627002;0.005720823798627002;0.018020594965675058;0.005434782608695652;0.005148741418764302;0.010011441647597255;0.018306636155606407;0.002574370709382151;0.006864988558352402;0.009439359267734555;0.006006864988558352;0.005720823798627002;0.04548054919908467;0.006292906178489702;0.009725400457665904;0.015160183066361556;0.007151029748283753;0.009725400457665904;0.02259725400457666;0.010011441647597255;0.007151029748283753;0.004576659038901602;0.018020594965675058;0.008867276887871853;0.010297482837528604;0.002288329519450801;0.005148741418764302;0.007723112128146453;0.004290617848970252;0.005148741418764302;0.010583524027459955;0.008295194508009153;0.018592677345537757;0.009439359267734555;0.010011441647597255;0.004576659038901602;0.008581235697940504;0.013729977116704805;0.029748283752860413;0.010297482837528604;0.013443935926773455;0.009725400457665904;0.014016018306636156;0.0037185354691075517;0.004862700228832952;0.009725400457665904;0.010011441647597255;0.010011441647597255;0.007437070938215103;0.007723112128146453;0.002860411899313501;0.006578947368421052;0.012871853546910755;0.012871853546910755;0.002860411899313501;0.007151029748283753;0.011727688787185355;0.05663615560640732;0.008867276887871853;0.006864988558352402;0.011441647597254004;0.015160183066361556;0.006864988558352402;0.008581235697940504;0.011727688787185355;0.013443935926773455;0.011441647597254004;0.005720823798627002},3
/Users/Shawn/Google Drive/ECEN642/642 Final Proj/Datasets/data/Arbys/03/inst1/04.jpg,3021,BagOfSurf{0.036742800397219465;0.007282356835484938;0.0029791459781529296;0.007613373055279708;0.0;9.930486593843098E-4;0.022178086726249588;0.00893743793445879;0.006289308176100629;0.007613373055279708;0.010923535253227408;0.004303210857332009;0.004634227077126779;0.003972194637537239;0.0029791459781529296;0.005627275736511089;0.013571665011585568;0.007613373055279708;0.005958291956305859;0.012247600132406488;0.01787487586891758;0.004965243296921549;9.930486593843098E-4;0.022840119165839126;0.016219794769943726;0.014233697451175108;0.006620324395895399;0.005296259516716319;0.010923535253227408;0.00827540549486925;0.004965243296921549;0.007944389275074478;0.003641178417742469;0.0023171135385633896;0.027143330023171135;0.014233697451175108;0.005296259516716319;0.013571665011585568;0.012909632571996028;0.0026481297583581596;0.006951340615690168;0.010592519033432638;0.005296259516716319;0.007282356835484938;0.016219794769943726;0.0029791459781529296;0.010923535253227408;0.014895729890764648;0.011254551473022179;0.005296259516716319;0.029129427341939754;0.00827540549486925;0.009268454154253558;0.005627275736511089;0.019198940748096655;0.00827540549486925;0.00827540549486925;0.004634227077126779;0.006951340615690168;0.005296259516716319;0.005958291956305859;0.005627275736511089;0.014564713670969877;0.006289308176100629;0.012909632571996028;0.010592519033432638;0.00827540549486925;0.005627275736511089;0.00893743793445879;0.019198940748096655;0.023833167825223437;0.009599470374048328;0.004634227077126779;0.009930486593843098;0.010592519033432638;0.004634227077126779;0.0029791459781529296;0.009268454154253558;0.012247600132406488;0.006620324395895399;0.010261502813637868;0.011585567692816948;0.003972194637537239;0.009599470374048328;0.010261502813637868;0.010923535253227408;0.0026481297583581596;0.008606421714664018;0.011254551473022179;0.047666335650446874;0.00893743793445879;0.00827540549486925;0.00893743793445879;0.012247600132406488;0.004303210857332009;0.005958291956305859;0.014895729890764648;0.018536908308507117;0.016219794769943726;0.010592519033432638},3
/Users/Shawn/Google Drive/ECEN642/642 Final Proj/Datasets/data/Arbys/03/inst1/05.jpg,3243,BagOfSurf{0.02497687326549491;0.0077089115016959605;0.005242059821153253;9.250693802035153E-4;9.250693802035153E-4;0.003083564600678384;0.022510021584952206;0.011409189022510022;0.008325624421831638;0.011100832562442183;0.012025901942645698;0.009559050262102992;0.005550416281221091;0.005550416281221091;0.001541782300339192;0.008325624421831638;0.013876040703052728;0.0074005550416281225;0.004933703361085414;0.012950971322849213;0.016034535923527597;0.0067838421214924454;0.0018501387604070306;0.015417823003391921;0.014492753623188406;0.018809744064138142;0.004316990440949738;0.008325624421831638;0.014184397163120567;0.009867406722170829;0.001541782300339192;0.010484119642306507;0.0074005550416281225;0.004625346901017576;0.02189330866481653;0.008633980881899476;0.0074005550416281225;0.008325624421831638;0.009559050262102992;0.002466851680542707;0.010175763182238668;0.009250693802035153;0.005242059821153253;0.009559050262102992;0.01171754548257786;0.002466851680542707;0.012334258402713537;0.012950971322849213;0.011100832562442183;0.005242059821153253;0.02127659574468085;0.016651248843663275;0.0077089115016959605;0.003083564600678384;0.016959605303731112;0.01757631822386679;0.0067838421214924454;0.004008633980881899;0.0077089115016959605;0.012334258402713537;0.006167129201356768;0.008942337341967314;0.012950971322849213;0.00585877274128893;0.01757631822386679;0.008942337341967314;0.01171754548257786;0.014492753623188406;0.015109466543324082;0.016034535923527597;0.018193031144002468;0.008017267961763799;0.006167129201356768;0.008325624421831638;0.010484119642306507;0.0037002775208140612;0.005242059821153253;0.010175763182238668;0.012950971322849213;0.008017267961763799;0.012025901942645698;0.014801110083256245;0.003083564600678384;0.0077089115016959605;0.010484119642306507;0.0070921985815602835;6.167129201356768E-4;0.0070921985815602835;0.013259327782917052;0.028677150786308975;0.014801110083256245;0.0064754856614246065;0.014492753623188406;0.008325624421831638;0.0070921985815602835;0.010175763182238668;0.014184397163120567;0.01572617946345976;0.014801110083256245;0.005550416281221091},3
/Users/Shawn/Google Drive/ECEN642/642 Final Proj/Datasets/data/Arbys/03/inst1/06.jpg,4211,BagOfSurf{0.020660175730230348;0.005936832106388032;4.749465685110425E-4;0.00379957254808834;0.0;0.009498931370220851;0.018997862740441702;0.008549038233198766;0.009261458085965329;0.011873664212776063;0.009498931370220851;0.007124198527665638;0.009498931370220851;0.004274519116599383;0.004986938969365947;0.007124198527665638;0.014248397055331275;0.008786511517454286;0.003562099263832819;0.009973877938731893;0.012111137497031584;0.008074091664687722;0.0011873664212776064;0.012823557349798148;0.009498931370220851;0.014723343623842318;0.008074091664687722;0.007836618380432201;0.011873664212776063;0.007836618380432201;0.0030871526953217764;0.012586084065542626;0.008549038233198766;0.004986938969365947;0.02279743528853004;0.008786511517454286;0.007124198527665638;0.010448824507242936;0.008786511517454286;0.0030871526953217764;0.00759914509617668;0.00759914509617668;0.002849679411066255;0.006411778674899074;0.03538351935407267;0.004986938969365947;0.012111137497031584;0.011636190928520541;0.008074091664687722;0.008311564948943244;0.014248397055331275;0.008549038233198766;0.009736404654476371;0.00569935882213251;0.011873664212776063;0.006411778674899074;0.012823557349798148;0.0047494656851104254;0.011161244360009499;0.009023984801709808;0.008549038233198766;0.008786511517454286;0.01139871764426502;0.008549038233198766;0.014960816908097838;0.009736404654476371;0.01329850391830919;0.010923771075753978;0.010211351222987414;0.013535977202564711;0.018522916171930658;0.008074091664687722;0.010211351222987414;0.011873664212776063;0.017098076466397532;0.006174305390643553;0.00759914509617668;0.009023984801709808;0.010686297791498456;0.010448824507242936;0.007836618380432201;0.010211351222987414;0.006649251959154595;0.00759914509617668;0.009973877938731893;0.007124198527665638;4.749465685110425E-4;0.009973877938731893;0.009736404654476371;0.03490857278556162;0.011636190928520541;0.010448824507242936;0.011161244360009499;0.019947755877463787;0.012823557349798148;0.008549038233198766;0.009261458085965329;0.011873664212776063;0.018047969603419617;0.010448824507242936},3
/Users/Shawn/Google Drive/ECEN642/642 Final Proj/Datasets/data/Arbys/03/inst2/img 028.jpg,3218,BagOfSurf{0.041640770665009326;0.048477315102548164;0.003418272218769422;0.005593536357986327;0.0015537600994406464;0.009011808576755749;0.01740211311373524;0.009011808576755749;0.006836544437538844;0.009944064636420136;0.011187072715972654;0.006215040397762586;0.009011808576755749;0.00435052827843381;0.011497824735860782;0.009322560596643879;0.019266625233064015;0.014294592914853946;0.007147296457426973;0.011187072715972654;0.01709136109384711;0.008079552517091361;0.001243008079552517;0.01740211311373524;0.014294592914853946;0.013362336855189559;0.0052827843380981974;0.00839030453697949;0.009944064636420136;0.010565568676196395;0.003107520198881293;0.012119328775637041;0.00435052827843381;0.006836544437538844;0.022995649471721565;0.00870105655686762;0.013673088875077687;0.006215040397762586;0.0046612802983219395;0.001243008079552517;0.010876320696084525;0.012119328775637041;0.004039776258545681;0.007147296457426973;0.010876320696084525;0.0015537600994406464;0.011187072715972654;0.018645121193287758;0.00870105655686762;0.0015537600994406464;0.008079552517091361;0.01709136109384711;0.006215040397762586;0.0046612802983219395;0.015537600994406464;0.009011808576755749;0.00870105655686762;0.007147296457426973;0.010876320696084525;0.009322560596643879;0.007147296457426973;0.006836544437538844;0.013362336855189559;0.010876320696084525;0.009944064636420136;0.008079552517091361;0.013983840894965818;0.00839030453697949;0.01305158483530143;0.009322560596643879;0.015226848974518334;0.007768800497203232;0.0015537600994406464;0.009011808576755749;0.0052827843380981974;0.0046612802983219395;0.006525792417650715;0.010565568676196395;0.01305158483530143;0.012430080795525171;0.005593536357986327;0.011187072715972654;0.002175264139216905;0.010254816656308266;0.003107520198881293;0.003107520198881293;0.002486016159105034;0.010254816656308266;0.015848353014294592;0.02517091361093847;0.009322560596643879;0.012119328775637041;0.009633312616532008;0.0018645121193287756;0.00870105655686762;0.011808576755748913;0.009011808576755749;0.010254816656308266;0.016469857054070853;0.0052827843380981974},3
/Users/Shawn/Google Drive/ECEN642/642 Final Proj/Datasets/data/Arbys/03/inst2/img 029.jpg,3314,BagOfSurf{0.02987326493663247;0.06397103198551599;0.003922751961375981;0.004828002414001207;9.052504526252263E-4;0.008449004224502113;0.013578756789378395;0.01056125528062764;0.007845503922751962;0.011466505733252867;0.010259505129752565;0.005431502715751358;0.005431502715751358;0.004224502112251056;0.010259505129752565;0.004828002414001207;0.02112251056125528;0.006035003017501509;0.008147254073627036;0.013277006638503319;0.012975256487628244;0.0033192516596258297;0.004224502112251056;0.02383826191913096;0.008750754375377187;0.012070006035003017;0.003621001810500905;0.0051297525648762825;0.01056125528062764;0.011768255884127943;0.0024140012070006035;0.0171997585998793;0.006035003017501509;0.008750754375377187;0.02444176222088111;0.009354254677127338;0.009052504526252263;0.01056125528062764;0.009354254677127338;0.0015087507543753772;0.01056125528062764;0.015691007845503924;0.00724200362100181;0.00724200362100181;0.009354254677127338;0.003922751961375981;0.011466505733252867;0.012975256487628244;0.013578756789378395;0.0030175015087507543;0.01056125528062764;0.009656004828002414;0.008147254073627036;0.005733252866626433;0.012673506336753168;0.013578756789378395;0.006336753168376584;0.004828002414001207;0.009354254677127338;0.009957754978877489;0.006638503319251659;0.009354254677127338;0.010863005431502716;0.010863005431502716;0.010259505129752565;0.010259505129752565;0.012371756185878094;0.007845503922751962;0.011164755582377792;0.014182257091128546;0.012975256487628244;0.006336753168376584;0.0024140012070006035;0.008449004224502113;0.008449004224502113;0.003621001810500905;0.008449004224502113;0.010259505129752565;0.010259505129752565;0.015087507543753771;0.006940253470126735;0.009656004828002414;0.004828002414001207;0.006336753168376584;0.006336753168376584;0.0012070006035003018;0.0033192516596258297;0.009052504526252263;0.01388050694025347;0.028364514182257092;0.011768255884127943;0.011466505733252867;0.008449004224502113;0.0012070006035003018;0.011466505733252867;0.008449004224502113;0.004828002414001207;0.012673506336753168;0.01780325890162945;0.006638503319251659},3
/Users/Shawn/Google Drive/ECEN642/642 Final Proj/Datasets/data/Arbys/03/inst2/img 030.jpg,3205,BagOfSurf{0.04898595943837754;0.07207488299531982;0.00187207488299532;0.00592823712948518;9.3603744149766E-4;0.0031201248049922;0.014040561622464899;0.00748829953198128;0.006552262090483619;0.011232449297971918;0.01185647425897036;0.00592823712948518;0.008112324492979718;0.0024960998439937598;0.0034321372854914196;0.00873634945397816;0.021216848673946957;0.01185647425897036;0.005304212168486739;0.012792511700468018;0.014664586583463339;0.01185647425897036;0.006552262090483619;0.024024960998439936;0.009984399375975039;0.00873634945397816;0.004056162246489859;0.00748829953198128;0.006864274570982839;0.008424336973478939;0.0049921996879875195;0.01029641185647426;0.008112324492979718;0.00436817472698908;0.0187207488299532;0.009672386895475818;0.006864274570982839;0.0093603744149766;0.006552262090483619;0.0028081123244929796;0.00873634945397816;0.013104524180967239;0.008424336973478939;0.00748829953198128;0.011544461778471139;0.00187207488299532;0.01029641185647426;0.013728549141965678;0.006552262090483619;0.00218408736349454;0.013728549141965678;0.0124804992199688;0.009984399375975039;0.00374414976599064;0.014664586583463339;0.008424336973478939;0.00748829953198128;0.004056162246489859;0.00873634945397816;0.006864274570982839;0.00748829953198128;0.0109204368174727;0.009984399375975039;0.00873634945397816;0.009672386895475818;0.01029641185647426;0.0124804992199688;0.01185647425897036;0.0124804992199688;0.0109204368174727;0.016848673946957878;0.004056162246489859;0.00374414976599064;0.006552262090483619;0.0124804992199688;0.0049921996879875195;0.00748829953198128;0.0078003120124804995;0.007176287051482059;0.01591263650546022;0.008424336973478939;0.0049921996879875195;0.0031201248049922;0.005304212168486739;0.006552262090483619;0.006552262090483619;0.0031201248049922;0.007176287051482059;0.014352574102964118;0.034633385335413415;0.012792511700468018;0.0078003120124804995;0.013104524180967239;0.00218408736349454;0.0109204368174727;0.011232449297971918;0.00873634945397816;0.00748829953198128;0.0093603744149766;0.0078003120124804995},3
/Users/Shawn/Google Drive/ECEN642/642 Final Proj/Datasets/data/Arbys/03/inst2/img 031.jpg,3201,BagOfSurf{0.07216494845360824;0.07528897219618869;0.0018744142455482662;0.008122461730709154;6.248047485160887E-4;0.005935645110902843;0.020306154326772883;0.010934083099031553;0.004061230865354577;0.008747266479225243;0.009059668853483286;0.006872852233676976;0.00718525460793502;0.005310840362386754;0.005935645110902843;0.005310840362386754;0.02155576382380506;0.009059668853483286;0.006248047485160888;0.014682911590128085;0.01811933770696657;0.005935645110902843;0.004061230865354577;0.021868166198063105;0.010309278350515464;0.012496094970321775;0.0021868166198063107;0.009059668853483286;0.007810059356451109;0.007497656982193065;0.0028116213683223993;0.012808497344579818;0.004686035613870665;0.009059668853483286;0.029053420805998126;0.008747266479225243;0.009684473601999375;0.007497656982193065;0.006560449859418931;0.0028116213683223993;0.008122461730709154;0.011246485473289597;0.0037488284910965324;0.0037488284910965324;0.00718525460793502;0.002499218994064355;0.008434864104967198;0.013745704467353952;0.008434864104967198;0.0021868166198063107;0.008434864104967198;0.009684473601999375;0.00999687597625742;0.003436426116838488;0.013433302093095907;0.007810059356451109;0.007810059356451109;0.005310840362386754;0.005310840362386754;0.00718525460793502;0.0028116213683223993;0.00718525460793502;0.008434864104967198;0.00937207122774133;0.010621680724773508;0.006560449859418931;0.011871290221805686;0.006560449859418931;0.010934083099031553;0.00718525460793502;0.026241799437675725;0.006872852233676976;0.0018744142455482662;0.009684473601999375;0.008434864104967198;0.004686035613870665;0.008434864104967198;0.00499843798812871;0.007810059356451109;0.01218369259606373;0.00937207122774133;0.011558887847547642;0.0018744142455482662;0.00499843798812871;0.004686035613870665;0.003436426116838488;0.003124023742580444;0.004061230865354577;0.01811933770696657;0.03655107778819119;0.011246485473289597;0.006872852233676976;0.012808497344579818;0.0028116213683223993;0.009059668853483286;0.006872852233676976;0.00999687597625742;0.007810059356451109;0.013433302093095907;0.008434864104967198},3
/Users/Shawn/Google Drive/ECEN642/642 Final Proj/Datasets/data/Arbys/03/inst2/img 032.jpg,3247,BagOfSurf{0.08869725900831536;0.06251924853711117;0.0024638127502309825;0.005851555281798583;3.079765937788728E-4;0.010779180782260549;0.016014782876501387;0.016014782876501387;0.005851555281798583;0.011395133969818293;0.0070834616569140745;0.005235602094240838;0.005235602094240838;0.005851555281798583;0.0021558361564521095;0.0070834616569140745;0.02217431475207884;0.006467508469356329;0.004311672312904219;0.01201108715737604;0.015090853095164768;0.00554357868801971;0.004927625500461965;0.026793963658761934;0.01108715737603942;0.013550970126270403;0.0036957191253464737;0.005235602094240838;0.006159531875577456;0.008007391438250694;0.0024638127502309825;0.01324299353249153;0.0033877425315676007;0.0033877425315676007;0.03603326147212812;0.008315368032029567;0.005851555281798583;0.006775485063135201;0.010779180782260549;0.0033877425315676007;0.006467508469356329;0.012319063751154912;0.005235602094240838;0.0073914382506929475;0.01324299353249153;0.0021558361564521095;0.006775485063135201;0.018478595626732368;0.006775485063135201;0.0024638127502309825;0.01324299353249153;0.008623344625808438;0.009239297813366184;0.0024638127502309825;0.011395133969818293;0.005851555281798583;0.009239297813366184;0.00554357868801971;0.004927625500461965;0.0070834616569140745;0.003079765937788728;0.006775485063135201;0.009239297813366184;0.008623344625808438;0.008623344625808438;0.009239297813366184;0.01108715737603942;0.009239297813366184;0.01108715737603942;0.008931321219587311;0.02217431475207884;0.005235602094240838;0.004619648906683092;0.004927625500461965;0.0073914382506929475;0.0036957191253464737;0.008007391438250694;0.005235602094240838;0.004927625500461965;0.014166923313828149;0.010471204188481676;0.011703110563597166;0.005851555281798583;0.004003695719125347;0.001539882968894364;0.003079765937788728;0.0021558361564521095;0.0070834616569140745;0.010163227594702803;0.043116723129042196;0.0073914382506929475;0.006467508469356329;0.01324299353249153;0.0012319063751154912;0.006467508469356329;0.008623344625808438;0.015398829688943641;0.008315368032029567;0.012627040344933785;0.004619648906683092},3
/Users/Shawn/Google Drive/ECEN642/642 Final Proj/Datasets/data/Arbys/03/inst2/img 033.jpg,3212,BagOfSurf{0.05821917808219178;0.08063511830635119;0.003424657534246575;0.00684931506849315;0.0;0.004669987546699875;0.015255292652552927;0.0112079701120797;0.0062266500622665;0.009962640099626401;0.00933997509339975;0.007160647571606476;0.009028642590286426;0.003424657534246575;0.007471980074719801;0.007471980074719801;0.025217932752179328;0.007160647571606476;0.004047322540473225;0.0112079701120797;0.0186799501867995;0.007783312577833126;0.004047322540473225;0.01774595267745953;0.013075965130759652;0.008717310087173101;0.00560398505603985;0.00809464508094645;0.011519302615193025;0.0112079701120797;0.0024906600249066002;0.015255292652552927;0.0043586550435865505;0.00311332503113325;0.01805728518057285;0.009651307596513076;0.006537982565379826;0.0037359900373599006;0.008717310087173101;0.0018679950186799503;0.006537982565379826;0.016500622665006227;0.00560398505603985;0.0112079701120797;0.013387297633872976;6.226650062266501E-4;0.00933997509339975;0.012141967621419676;0.009962640099626401;0.0018679950186799503;0.014943960149439602;0.009962640099626401;0.009028642590286426;0.0024906600249066002;0.014321295143212951;0.008717310087173101;0.00809464508094645;0.005292652552926526;0.008405977584059776;0.011519302615193025;0.007160647571606476;0.007471980074719801;0.008405977584059776;0.004669987546699875;0.007160647571606476;0.008717310087173101;0.010585305105853052;0.0043586550435865505;0.013075965130759652;0.0136986301369863;0.015566625155666251;0.003424657534246575;0.003424657534246575;0.008405977584059776;0.007783312577833126;0.0043586550435865505;0.005292652552926526;0.00809464508094645;0.004669987546699875;0.020236612702366128;0.010585305105853052;0.010273972602739725;0.005915317559153176;0.006537982565379826;0.005292652552926526;0.0018679950186799503;0.002801992528019925;0.006537982565379826;0.015255292652552927;0.03518057285180573;0.010585305105853052;0.0062266500622665;0.012453300124533;0.00311332503113325;0.0062266500622665;0.00560398505603985;0.0136986301369863;0.00684931506849315;0.014943960149439602;0.005292652552926526},3
/Users/Shawn/Google Drive/ECEN642/642 Final Proj/Datasets/data/Arbys/03/inst3/img 036.jpg,3395,BagOfSurf{0.08424153166421208;0.08924889543446245;0.00117820324005891;0.00471281296023564;5.89101620029455E-4;0.006480117820324006;0.016494845360824743;0.007069219440353461;0.008247422680412371;0.006480117820324006;0.007363770250368188;0.005301914580265096;0.008836524300441826;0.005596465390279823;0.00235640648011782;0.006774668630338734;0.0203240058910162;0.007069219440353461;0.005891016200294551;0.011487481590574375;0.012960235640648013;0.006480117820324006;0.002061855670103093;0.023564064801178203;0.008247422680412371;0.011192930780559647;0.003829160530191458;0.008247422680412371;0.010309278350515464;0.007952871870397643;0.0029455081001472753;0.015022091310751105;0.007069219440353461;0.004418262150220913;0.01796759941089838;0.010014727540500737;0.00471281296023564;0.007363770250368188;0.005596465390279823;2.945508100147275E-4;0.008541973490427098;0.010603829160530192;0.006185567010309278;0.004418262150220913;0.010898379970544918;0.003240058910162003;0.009131075110456554;0.016200294550810016;0.008836524300441826;0.002650957290132548;0.007363770250368188;0.009131075110456554;0.008836524300441826;0.002650957290132548;0.017673048600883652;0.006480117820324006;0.008247422680412371;0.004418262150220913;0.008541973490427098;0.010309278350515464;0.004418262150220913;0.004418262150220913;0.013549337260677467;0.007363770250368188;0.016494845360824743;0.010603829160530192;0.00942562592047128;0.008541973490427098;0.013254786450662739;0.009131075110456554;0.017673048600883652;0.008836524300441826;0.0029455081001472753;0.005007363770250369;0.011487481590574375;0.002650957290132548;0.007069219440353461;0.005596465390279823;0.00471281296023564;0.0203240058910162;0.003829160530191458;0.010898379970544918;0.002061855670103093;0.006480117820324006;0.005301914580265096;0.002650957290132548;0.002650957290132548;0.005596465390279823;0.013843888070692194;0.029160530191458027;0.009131075110456554;0.012665684830633284;0.011782032400589101;0.0029455081001472753;0.008836524300441826;0.005596465390279823;0.014138438880706922;0.009131075110456554;0.010898379970544918;0.008541973490427098},3
/Users/Shawn/Google Drive/ECEN642/642 Final Proj/Datasets/data/Arbys/03/inst3/img 037.jpg,3435,BagOfSurf{0.05735080058224163;0.062882096069869;0.001455604075691412;0.01572052401746725;5.822416302765648E-4;0.012518195050946142;0.02066957787481805;0.010189228529839884;0.005531295487627365;0.00727802037845706;0.009898107714701601;0.006404657933042212;0.007569141193595342;0.004657933042212519;0.0040756914119359534;0.006695778748180495;0.023289665211062592;0.008151382823871907;0.009315866084425037;0.01222707423580786;0.01601164483260553;0.0040756914119359534;0.002911208151382824;0.018631732168850074;0.010480349344978166;0.012809315866084425;0.0069868995633187774;0.007569141193595342;0.008733624454148471;0.007860262008733625;0.003784570596797671;0.012809315866084425;0.004949053857350801;0.0040756914119359534;0.013973799126637555;0.011353711790393014;0.0069868995633187774;0.00960698689956332;0.006404657933042212;0.0011644832605531296;0.009024745269286753;0.010771470160116448;0.006404657933042212;0.0040756914119359534;0.00960698689956332;0.005531295487627365;0.010189228529839884;0.012809315866084425;0.013100436681222707;0.0023289665211062593;0.007860262008733625;0.006695778748180495;0.008733624454148471;0.0034934497816593887;0.015429403202328967;0.00611353711790393;0.008442503639010189;0.009315866084425037;0.00611353711790393;0.012809315866084425;0.008151382823871907;0.007569141193595342;0.011353711790393014;0.008151382823871907;0.018049490538573507;0.007569141193595342;0.009024745269286753;0.007860262008733625;0.01222707423580786;0.011644832605531296;0.020087336244541485;0.006695778748180495;0.0020378457059679767;0.00960698689956332;0.006695778748180495;0.003202328966521106;0.007860262008733625;0.004366812227074236;0.0040756914119359534;0.01222707423580786;0.00727802037845706;0.00960698689956332;0.007860262008733625;0.00960698689956332;0.0040756914119359534;0.005822416302765648;0.0017467248908296944;0.006404657933042212;0.01455604075691412;0.033478893740902474;0.011644832605531296;0.00727802037845706;0.009315866084425037;0.004366812227074236;0.007860262008733625;0.007569141193595342;0.013100436681222707;0.0069868995633187774;0.014264919941775837;0.01222707423580786},3
